shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
107,36.07785,-80.29737,173,
107,36.07802,-80.29732,174,
107,36.07821,-80.29725,175,
107,36.0782,-80.2968,176,
107,36.07817,-80.29547,177,
107,36.07813,-80.29413,178,
107,36.07802,-80.28993,179,
107,36.07793,-80.28643,180,
107,36.07792,-80.28592,181,
107,36.07898,-80.28595,182,
107,36.0793,-80.28597,183,
107,36.08028,-80.286,184,
107,36.08329,-80.28611,185,
107,36.08588,-80.28622,186,
107,36.08638,-80.28625,187,
107,36.08644,-80.28577,188,
107,36.0865,-80.28544,189,
107,36.08663,-80.28514,190,
107,36.08675,-80.28492,191,
107,36.08697,-80.2846,192,
107,36.08705,-80.28447,193,
107,36.08721,-80.28415,194,
107,36.08733,-80.28388,195,
107,36.08744,-80.28355,196,
107,36.08762,-80.28283,197,
107,36.0878,-80.28215,198,
107,36.08791,-80.28138,199,
107,36.088,-80.28035,200,
107,36.0886,-80.28068,201,
107,36.0895,-80.28118,202,
107,36.08956,-80.28102,203,
107,36.08957,-80.28098,204,
107,36.08964,-80.28062,205,
107,36.08968,-80.28005,206,
107,36.08976,-80.27913,207,
107,36.08991,-80.27747,208,
107,36.09008,-80.27551,209,
107,36.09017,-80.27435,210,
107,36.09019,-80.27384,211,
107,36.09029,-80.27292,212,
107,36.09031,-80.27278,213,
107,36.0904,-80.27233,214,
107,36.09049,-80.27199,215,
107,36.09058,-80.27172,216,
107,36.09024,-80.27159,217,
107,36.09014,-80.27154,218,
107,36.09013,-80.27152,219,
107,36.09003,-80.27143,220,
107,36.08983,-80.27138,221,
107,36.08941,-80.2713,222,
107,36.08912,-80.27127,223,
107,36.08898,-80.27124,224,
107,36.08883,-80.27116,225,
107,36.08871,-80.27109,226,
107,36.08855,-80.27093,227,
107,36.0885,-80.27087,228,
107,36.08841,-80.27067,229,
107,36.08835,-80.27049,230,
107,36.08833,-80.27028,231,
107,36.08834,-80.26899,232,
107,36.08838,-80.26695,233,
107,36.08842,-80.26688,234,
107,36.0887,-80.26663,235,
107,36.08883,-80.26652,236,
107,36.08909,-80.26632,237,
107,36.08973,-80.26594,238,
107,36.09039,-80.26553,239,
107,36.09073,-80.26533,240,
107,36.09089,-80.26528,241,
107,36.09122,-80.26528,242,
107,36.09227,-80.26528,243,
107,36.09247,-80.2653,244,
107,36.09252,-80.26531,245,
107,36.09264,-80.26441,246,
107,36.09268,-80.26414,247,
107,36.09322,-80.26144,248,
107,36.09362,-80.25979,249,
107,36.09367,-80.2595,250,
107,36.09379,-80.25873,251,
107,36.09389,-80.25736,252,
107,36.09387,-80.25637,253,
